##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Mucor_WGS_A01_1_10475491_22MKWLLT3_L1_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	26877936
1109	25-29	0.0215797959696431
1109	30-34	-0.018423016006394732
1109	35-39	-0.0352688402649477
1109	40-44	-0.019626569360951862
1109	45-49	-0.013989855662423167
1109	50-54	-0.01857521613866453
1109	55-59	-7.053184078529284E-4
1109	60-64	-0.07294169579613197
1109	65-69	-0.022392018020255477
1109	70-74	-0.003590448388429479
1109	75-79	-0.029205784824071657
1109	80-84	-0.037716886627904955
1109	85-89	-0.06536057325575229
1109	90-94	-0.03743917938995622
1109	95-99	2.218013776982275E-4
1109	100-104	-0.05201624221312784
1109	105-109	-0.06306560909070669
1109	110-114	-0.015116608415972621
1109	115-119	-0.013075458148257724
1109	120-124	-0.016191759762754998
1109	125-129	0.010252452998244621
1109	130-134	-0.050540930441002274
1109	135-139	-0.02857210968210211
1109	140-144	-0.05223837381749519
1109	145-149	-0.00813904139177879
1109	150	-0.013918452969996054
1110	1	-0.11129857012961253
1110	2	-0.03533203989940148
1110	3	-0.1072567843165615
1110	4	-0.018034032630787067
1110	5	-0.10655779120369147
1110	6	0.011107077848770075
1110	7	0.07685157504146645
1110	8	-0.040816742580361165
1110	9	-0.014279321367631326
1110	10-14	-0.010092844049822247
1110	15-19	-0.017592125331972852
1110	20-24	-0.014539737631288574
1110	25-29	-0.005680416965219592
1110	30-34	0.003529440013714691
1110	35-39	-0.002694102640880658
1110	40-44	-0.02326786884378862
1110	45-49	-0.023325376574852896
1110	50-54	-0.031399246966373084
1110	55-59	-0.03233417985072151
1110	60-64	-0.012778020859990136
1110	65-69	-0.04843687347213432
1110	70-74	-0.021299017955314525
1110	75-79	-0.015816157513256712
1110	80-84	-0.06107724012615989
1110	85-89	-0.028168419037385206
1110	90-94	-0.0028601694602414796
1110	95-99	-0.06151137783923133
1110	100-104	-0.0267009400951963
1110	105-109	-0.035154195979174574
1110	110-114	-0.019466146842148646
1110	115-119	0.02153883893922881
1110	120-124	0.008139983424435115
1110	125-129	0.029132102589670694
1110	130-134	0.047028115489297306
1110	135-139	0.05582579054983228
1110	140-144	0.059381191271931755
1110	145-149	0.07886174671692459
1110	150	0.16527008039794566
1111	1	-0.10066215743061235
1111	2	-0.05737408184047155
1111	3	-0.04689070368601733
1111	4	-0.05050880651342027
1111	5	-0.03128719293350457
1111	6	-0.056699111593843554
1111	7	-0.028559650601771125
1111	8	0.04238256518303274
1111	9	0.004884065413406802
1111	10-14	0.0051306942364277575
1111	15-19	-0.03484675037701379
1111	20-24	-0.006119307012149022
1111	25-29	-0.035892007557031036
1111	30-34	-0.040663707000810234
1111	35-39	-0.09689686990602553
1111	40-44	-0.037205514869448564
1111	45-49	-0.07740623577318928
1111	50-54	-0.06512565995119246
1111	55-59	-0.03922735001079758
1111	60-64	-0.03668102255079475
1111	65-69	-0.0701218307201259
1111	70-74	-0.09282429339005205
1111	75-79	-0.07921672724101825
1111	80-84	-0.07708686149761945
1111	85-89	-0.10050217661223115
1111	90-94	-0.049550577959422526
1111	95-99	-0.08826313042741418
1111	100-104	-0.058357942237698524
1111	105-109	-0.02466094713548017
1111	110-114	0.0016679442974876224
1111	115-119	-0.013220396439706406
1111	120-124	-0.02755700838384456
1111	125-129	-0.02801993783264578
1111	130-134	-0.027171201801316158
1111	135-139	-0.010487517127259594
1111	140-144	-0.07252947927063502
1111	145-149	0.009600300182285082
1111	150	-0.09400705018269662
1112	1	-0.2611196832097633
1112	2	0.03711722486389846
1112	3	-0.0806793766607683
1112	4	0.05186922427487417
1112	5	0.0663249216676931
1112	6	0.025577779174597026
1112	7	-0.01624904460552301
1112	8	0.04558270835806155
1112	9	0.05773966535246444
1112	10-14	0.011493392610027797
1112	15-19	0.0033699275884728763
1112	20-24	0.0035164813085515334
1112	25-29	-0.03258888710028174
1112	30-34	-0.04629000544486672
1112	35-39	-0.05577596799394513
1112	40-44	-0.01580463554368805
1112	45-49	-0.04713608012131232
1112	50-54	-0.014619163554073111
1112	55-59	-0.03163921835999872
1112	60-64	-0.02410188181618622
1112	65-69	-0.06717829707201162
1112	70-74	-0.054766902177306065
1112	75-79	-0.015633112853059572
1112	80-84	-0.029451948764730673
1112	85-89	-0.05407852464082907
1112	90-94	-0.020705575691167155
1112	95-99	-0.007083667209180078
1112	100-104	-0.01635265359671223
1112	105-109	-0.0423111118603785
1112	110-114	-3.5787364934947163E-4
1112	115-119	-0.031486503772271135
1112	120-124	-6.498892206394657E-4
1112	125-129	-0.01511957757301019
1112	130-134	-0.012234530133724775
1112	135-139	-0.01562614148026853
1112	140-144	-0.019555388400931406
1112	145-149	-0.01112787397926951
1112	150	0.06994195277425774
1113	1	-0.08023119067416928
1113	2	0.06489773776517183
1113	3	0.0780212204902142
1113	4	0.1175574394708292
1113	5	0.0702973700070828
1113	6	0.04729465723719528
1113	7	0.05202600750376973
1113	8	0.05705385027191312
1113	9	0.1291490067326393
1113	10-14	0.037640133795719066
1113	15-19	0.03295626348554492
1113	20-24	-0.001109106220688716
1113	25-29	-7.142818551955088E-4
1113	30-34	0.012079428311217555
1113	35-39	-0.009162396659057492
1113	40-44	-0.011367418718116085
1113	45-49	-0.018728111651128643
1113	50-54	0.027088265634787945
1113	55-59	0.028422526930341974
1113	60-64	0.013726505544703116
1113	65-69	0.0024729117030091174
1113	70-74	-0.02757474886763589
1113	75-79	-0.003239334855138054
1113	80-84	-0.009247941028583284
1113	85-89	0.006175956481989431
1113	90-94	-0.006607622427161175
1113	95-99	-0.018224055524974858
1113	100-104	0.01227866094529162
1113	105-109	-0.0068533698052135605
1113	110-114	-0.008546094562092321
1113	115-119	0.013302733522671417
1113	120-124	0.004555807625642672
1113	125-129	0.01021535833012166
1113	130-134	0.04558475249222482
1113	135-139	0.06550977552178949
1113	140-144	0.07096198735879966
1113	145-149	0.09952949970249136
1113	150	0.05277757803039407
1114	1	0.1453150818258777
1114	2	0.03926527439690375
1114	3	0.08240939589433793
1114	4	0.008982723559114447
1114	5	0.06764169415671262
1114	6	0.08114239611649765
1114	7	0.0666318666523864
1114	8	0.07824537379676144
1114	9	0.11486197189744018
1114	10-14	0.06092537175338464
1114	15-19	0.014925379103189584
1114	20-24	0.006592174731174794
1114	25-29	0.05339331897864241
1114	30-34	0.00230230749571092
1114	35-39	-0.013155398187912226
1114	40-44	-0.011993950562320776
1114	45-49	-0.025927418848219475
1114	50-54	-0.010188096663938495
1114	55-59	-0.05463100979864066
1114	60-64	-0.03627936052728842
1114	65-69	-0.04485787337791436
1114	70-74	-0.04176961823526426
1114	75-79	-0.019642371392670555
1114	80-84	-0.05299709924221929
1114	85-89	-0.03157182184532559
1114	90-94	-0.00291121164646313
1114	95-99	0.0034367537593524844
1114	100-104	-0.024771409486731955
1114	105-109	-0.03163341224456673
1114	110-114	0.02222118564074549
1114	115-119	0.03236201875606781
1114	120-124	0.03849081593380532
1114	125-129	0.05482181560998356
1114	130-134	0.06581162212729907
1114	135-139	0.07857894086286876
1114	140-144	0.0696193807610399
1114	145-149	0.12021881675409674
1114	150	0.048497527210940916
1115	1	0.029403086318616545
1115	2	0.03598319724729748
1115	3	0.0229186577549072
1115	4	0.11585118586440757
1115	5	0.015621123494469202
1115	6	0.08321937166184057
1115	7	0.08689962728196576
1115	8	0.078106932686282
1115	9	0.032214602826961425
1115	10-14	0.012906224710775405
1115	15-19	-8.934243623102134E-4
1115	20-24	3.058178177397508E-4
1115	25-29	0.008524007768251352
1115	30-34	-0.017493093500476675
1115	35-39	-0.022806466251431345
1115	40-44	-0.013330073264206987
1115	45-49	-0.0363036653144988
1115	50-54	-0.015131727333198342
1115	55-59	-0.02378394377782911
1115	60-64	-0.053912846121171754
1115	65-69	-0.030887379862051034
1115	70-74	-0.03030067393867597
1115	75-79	-0.03070389686970998
1115	80-84	-0.0033795899139832386
1115	85-89	-0.03361184985386245
1115	90-94	-0.038571739598317833
1115	95-99	-0.06043376584992899
1115	100-104	-0.05417748568321912
1115	105-109	-0.11231071855469565
1115	110-114	-0.09944886545349618
1115	115-119	-0.07785253737564801
1115	120-124	-0.08570566430189075
1115	125-129	-0.03818362224109251
1115	130-134	-0.0850747071562239
1115	135-139	-0.05832749203480603
1115	140-144	-0.014168158072060066
1115	145-149	-5.171404352211084E-5
1115	150	0.03909761805899592
1116	1	0.1514910525439106
1116	2	0.028152838505384636
1116	3	0.006132979535237837
1116	4	0.10464817662568038
1116	5	0.05838436074707687
1116	6	0.13901535313194557
1116	7	0.07016081498724702
1116	8	0.10139653006893212
1116	9	0.0585003164750475
1116	10-14	0.0046744615533071965
1116	15-19	0.023666873392535592
1116	20-24	0.007782423631233826
1116	25-29	0.004152657800858606
1116	30-34	-0.011281921221886648
1116	35-39	-0.0036133256374810685
1116	40-44	-0.018416213392207226
1116	45-49	-0.025407739469770263
1116	50-54	-0.0120832640612889
1116	55-59	-0.02401261378423669
1116	60-64	-0.018896858703556063
1116	65-69	-0.0168945358424466
1116	70-74	-0.027378739737315527
1116	75-79	-0.003623783476484732
1116	80-84	-0.018662791213735375
1116	85-89	0.01576408906867499
1116	90-94	-0.007201135580245932
1116	95-99	-0.01323156672219028
1116	100-104	-0.021529182648151846
1116	105-109	-0.004451265000220417
1116	110-114	-0.04204128533647378
1116	115-119	-0.03354012688816965
1116	120-124	-0.041799576920375614
1116	125-129	0.02119482624014779
1116	130-134	-0.03582358335040681
1116	135-139	-0.006558302251804093
1116	140-144	0.0849937653724453
1116	145-149	0.09512655221853805
1116	150	0.10564821345151643
1117	1	0.022715209978606765
1117	2	-0.018650240470037716
1117	3	-0.021659896424317537
1117	4	0.061976393438250454
1117	5	0.03862255085153521
1117	6	0.08206511708047515
1117	7	-0.008786953065040848
1117	8	0.012334054764124858
1117	9	0.10025377849874673
1117	10-14	0.02158633696190293
1117	15-19	-0.003104177960750576
1117	20-24	0.007411346194302837
1117	25-29	-0.011278303154902858
1117	30-34	-0.015165236696397244
1117	35-39	-0.037833229559026904
1117	40-44	-0.010530269658836744
1117	45-49	-0.04927400994502307
1117	50-54	-0.03951862607964074
1117	55-59	-0.019450946685608983
1117	60-64	-0.040377404006484596
1117	65-69	-0.06477268542884218
1117	70-74	-0.05895745791402618
1117	75-79	-0.04721300363626568
1117	80-84	-0.056535360447291794
1117	85-89	-0.04030561615849848
1117	90-94	-0.05124405201917881
1117	95-99	-0.05679549900860792
1117	100-104	-0.020961726306474304
1117	105-109	-0.04550552616714043
1117	110-114	-0.05369913643091451
1117	115-119	-0.08176152840886886
1117	120-124	-0.04607053957821705
1117	125-129	-0.00520797708862375
1117	130-134	-0.05613192077772311
1117	135-139	-0.02734244074270009
1117	140-144	0.008774753378943956
1117	145-149	0.034735220167647185
1117	150	0.1516996413377001
1118	1	0.016615999992822594
1118	2	-0.044641466887874515
1118	3	0.04987631616783972
1118	4	0.033136592214567884
1118	5	0.0932470768961764
1118	6	0.060924295478571366
1118	7	0.07282768468593304
1118	8	0.1248009135743473
1118	9	0.06646870527253412
1118	10-14	0.03920699467566635
1118	15-19	-0.02741321060093327
1118	20-24	0.009054975357507544
1118	25-29	0.022447925941051494
1118	30-34	-0.008462080138585293
1118	35-39	-0.0013993762343815774
1118	40-44	-0.003513151250068347
1118	45-49	-0.029498658090346908
1118	50-54	-0.014995837812129764
1118	55-59	-0.016078334365829505
1118	60-64	-0.034338767822454486
1118	65-69	-0.025783824910391218
1118	70-74	-0.038538615314003266
1118	75-79	-0.06363572264190509
1118	80-84	-0.041102242983143356
1118	85-89	-0.04135610919650645
1118	90-94	-0.08131786795645723
1118	95-99	-0.04553413739444778
1118	100-104	-0.08676926690642972
1118	105-109	-0.08950886319765772
1118	110-114	-0.11033237587220412
1118	115-119	-0.1540959137972422
1118	120-124	-0.0709402681781981
