Location.Sample.date,Year,Season,Facility,Production.Area,Swab.Site,Shannon,YM,Log10YM,YM-bin,,,,
WS.48.2,2022,Fall,West.Senecca,Warehouse,Door,3.56529554,6.00E+02,2.78E+00,Low,,,,
WS.48.3,2023,Winter,West.Senecca,Warehouse,Door,3.460888248,1.20E+03,3.08E+00,Medium,,,,
WS.48.4,2023,Spring,West.Senecca,Warehouse,Door,2.939886086,1.60E+03,3.20E+00,Medium,,,,
WS.49.1,2022,Summer,West.Senecca,Warehouse,Fan/Vent,1.223581781,1.75E+03,3.24E+00,Medium,,,,
WS.49.2,2022,Fall,West.Senecca,Warehouse,Fan/Vent,2.408745233,6.00E+02,2.78E+00,Low,,,,
WS.49.3,2023,Winter,West.Senecca,Warehouse,Fan/Vent,2.814870669,8.00E+02,2.90E+00,Low,,,,
WS.49.4,2023,Spring,West.Senecca,Warehouse,Fan/Vent,2.400870594,3.20E+03,3.51E+00,Medium,,,,
WS.50.1,2022,Summer,West.Senecca,Warehouse,Fan/Vent,0,8.00E+02,2.90E+00,Low,,,,
WS.50.3,2023,Winter,West.Senecca,Warehouse,Fan/Vent,2.764839433,0.00E+00,0.00E+00,Low,,,,
WS.50.4,2023,Spring,West.Senecca,Warehouse,Fan/Vent,3.173878703,4.00E+02,2.60E+00,Low,,,,
Floor.E.Winter,2023,Winter,West.Senecca,Raw,Floor,1.237305715,3.60E+06,6.56E+00,High,,,,
Floor.E.Spring,2023,Spring,West.Senecca,Raw,Floor,1.873472533,1.18E+07,7.07E+00,High,,,,
